feature,G2,p,n_target,n_reference
first,5.694292425722553,0.01702017329788541,112,1
long,2.7225056414505615,0.09894258641796061,55,0
since,2.4027949051720783,0.12111868530736125,51,0
sleep,2.3238098199744113,0.1274076360609887,50,0
possible,1.8590774936255217,0.17273130848343532,44,0
every,1.7725540960742254,0.1830663051496798,76,1
time,1.7508267173922656,0.18577283622680296,270,9
part,1.7132569386429504,0.1905633440740261,75,1
saw,1.7081445279964544,0.19122628557764543,42,0
among,1.6335303193216346,0.20121545032943344,41,0
night,1.6335303193216346,0.20121545032943344,41,0
bed,1.5595216622601926,0.21173527185169272,40,0
form,1.5595216622601926,0.21173527185169272,40,0
made,1.5386217973726253,0.21482306447903576,72,1
room,1.4861492587251337,0.2228148865931172,39,0
asylum,1.4175758450566343,0.23380281949934956,111,3
flechsig,1.369192347027901,0.24195069812229264,69,1
several,1.3414483219687987,0.24677871515582284,37,0
stay,1.3414483219687987,0.24677871515582284,37,0
contact,1.2701943065830332,0.2597302312854327,36,0
