feature,G2,p,n_target,n_reference
nerves,20.850577734240666,4.965424620917425e-6,32,241
divine,17.88998028579184,2.3405011065902315e-5,15,68
must,15.974918276096915,6.418727279933201e-5,18,111
certain,13.400866035612466,2.515081481632153e-4,15,92
plant,12.513795824188687,4.0395806046800153e-4,3,0
power,12.32279618342691,4.4745990858507945e-4,14,81
created,10.718330592820832,0.0010607933764971156,10,48
remnants,10.023265899164691,0.0015457513787665578,3,1
picture,8.979433994311009,0.0027303521106344375,7,27
insects,8.928788990177274,0.002807104066509525,4,6
create,8.889535021309229,0.0028680976376334044,5,12
arms,8.482911856215008,0.0035849782729958646,3,2
earth,8.354275207989451,0.003847809196286245,7,29
nearer,8.215477420690835,0.004153458602333071,4,7
shall,8.215477420690835,0.004153458602333071,4,7
respect,7.587561992031287,0.005877237788256773,4,8
season,7.36267945782593,0.006659148373864832,3,3
chapter,7.303623164004529,0.006881570668876957,12,87
essential,7.028629510225601,0.008021671971778277,4,9
rays,6.9897797021854124,0.008197644278051475,21,215
